region,prefecture,commune,canton,operateur,lat,lon
Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",10.861663333333334,0.1921566666666667
Savanes,Tône,Tône 4,Louanga,"Moov, Togocom",10.892733333333334,0.3324983333333333
Savanes,Tône,Tône 4,Louanga,"Moov, Togocom",10.903838333333333,0.33101
Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",10.725439999999999,0.377745
Savanes,Cinkassé,Cinkassé 2,Nadjoundi,"Moov, Togocom",11.028229950523473,0.1797596499930003
Savanes,Tône,Tône 1,Dapaong,Nsp,10.864215254278882,0.2036435954424676
Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",10.868955000000001,0.19917
Savanes,Tône,Tône 2,Naki-Ouest,Nsp,10.90627849910268,0.093384896667069
Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",10.863133222132358,0.2039571787728624
Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",10.727152510028883,0.3799806764482449
Savanes,Tône,Tône 3,Warkambou,Togocom,10.783750000000001,-0.0347316666666667
Savanes,Cinkassé,Cinkassé 2,Nadjoundi,Moov,11.032544777826768,0.1922254393991932
Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",10.728348957265222,0.382567526932995
Savanes,Tône,Tône 2,Naki-Ouest,Moov,10.906164999999998,0.0914716666666667
Maritime,Zio,Zio 3,Agbélouvé,Nsp,6.674436666666666,1.1673550000000001
Maritime,Zio,Zio 3,Agbélouvé,"Moov, Togocom",6.681035540158565,1.169835527954165
Maritime,Zio,Zio 3,Agbélouvé,"Moov, Togocom",6.6729037819230985,1.1663354799892047
Plateaux,Akébou,Akébou 1,Kougnohou,Togocom,7.647733964939098,0.7936278586123118
Maritime,Zio,Zio 3,Agbélouvé,"Moov, Togocom",6.670964999999999,1.1614733333333334
Savanes,Cinkassé,Cinkassé 1,Cinkassé,"Moov, Togocom",11.098993333333333,0.0204733333333333
Savanes,Cinkassé,Cinkassé 2,Biankouri,"Moov, Togocom",11.015391666666668,0.05283
Savanes,Cinkassé,Cinkassé 1,Cinkassé,"Moov, Togocom",11.098811666666666,0.0198
Maritime,Zio,Zio 1,Tsévié,"Moov, Togocom",6.420000000000001,1.2108433333333333
Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",10.864156666666668,0.2048133333333334
Savanes,Tône,Tône 1,Toaga,"Moov, Togocom",10.944621666666668,0.267025
Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",10.863586871844447,0.2044129808458262
Savanes,Tône,Tône 1,Toaga,"Moov, Togocom",10.944346666666668,0.266925
Savanes,Tône,Tône 4,Korbongou,"Moov, Togocom",10.976244999999999,0.2983533333333333
Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",10.727067384405697,0.3798630730591543
Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",10.863058844873635,0.2040113656165219
Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",10.872485,0.1967966666666667
Savanes,Tône,Tône 4,Kantindi,"Moov, Togocom",10.944003937325009,0.2675693972280633
Savanes,Tône,Tône 4,Kantindi,"Moov, Togocom",10.943975425708386,0.2674993987542178
Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",10.864293333333334,0.2054233333333334
Savanes,Tône,Tône 4,Korbongou,Nsp,10.910086581295944,0.3517743875871579
Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",10.864781551996135,0.2038874741730438
Savanes,Tône,Tône 2,Naki-Ouest,"Moov, Togocom",10.906370926363968,0.092949446818035
Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",10.854684999999998,0.1792183333333333
Savanes,Tône,Tône 2,Naki-Ouest,Togocom,10.906372046964869,0.0929539586711017
Savanes,Tône,Tône 3,Warkambou,Moov,10.800401666666668,0.0035433333333333
Savanes,Tône,Tône 4,Korbongou,"Moov, Togocom",10.906378989353229,0.3588037508670197
Savanes,Tône,Tône 4,Korbongou,"Moov, Togocom",10.906148627185381,0.3583025944405935
Savanes,Tône,Tône 4,Korbongou,Moov,10.90596200924057,0.3581466708877847
Savanes,Tône,Tône 4,Kantindi,"Moov, Togocom",10.894600204043309,0.2786824147001287
Savanes,Tône,Tône 2,Naki-Ouest,"Moov, Togocom",10.905690638936512,0.0950041621955588
Savanes,Tône,Tône 2,Naki-Ouest,"Moov, Togocom",10.906217308843761,0.0934435898356416
Savanes,Tône,Tône 2,Naki-Ouest,"Moov, Togocom",10.906816666666668,0.092375
Savanes,Tône,Tône 2,Naki-Ouest,Moov,10.906604273736766,0.0922826426327096
Savanes,Tône,Tône 4,Korbongou,"Moov, Togocom",10.9316,0.2998383333333334
Savanes,Tône,Tône 2,Naki-Ouest,"Moov, Togocom",10.906532035799557,0.092054188412981
Savanes,Oti-Sud,Oti-Sud 1,Mogou,Nsp,10.383212723912587,0.6441516325338709
Savanes,Oti,Oti 1,Faré,"Moov, Togocom",10.179847402403539,0.393440574095371
Savanes,Tône,Tône 2,Naki-Ouest,Moov,10.906098835317358,0.093792401455292
Savanes,Tône,Tône 4,Korbongou,"Moov, Togocom",10.914779707853825,0.304640416586605
Savanes,Tône,Tône 1,Poissongui,Moov,11.057391666666668,0.2017616666666667
Savanes,Tandjoaré,Tandjoaré 1,Bombouaka,"Moov, Togocom",10.729180000000001,0.17861
Savanes,Tône,Tône 2,Naki-Ouest,Moov,10.914356495021487,0.1148514582800882
Savanes,Oti,Oti 1,Sadori,"Moov, Togocom",10.244228333333332,0.4011966666666666
Savanes,Tône,Tône 4,Louanga,Togocom,10.910199983932833,0.328350529186266
Savanes,Tône,Tône 4,Louanga,Togocom,10.831390445796908,0.3864958167500126
Savanes,Tône,Tône 1,Kourientre,Togocom,10.977551597874985,0.2250895713090332
Savanes,Tône,Tône 4,Korbongou,Moov,10.910694348746073,0.326934611309166
Savanes,Cinkassé,Cinkassé 1,Cinkassé,Nsp,11.100688333333334,0.012975
Savanes,Tône,Tône 4,Korbongou,"Moov, Togocom",10.914702655329195,0.3046693863308753
Savanes,Tône,Tône 4,Louanga,"Moov, Togocom",10.900095192812675,0.3146249802372387
Savanes,Oti,Oti 1,Mango,"Moov, Togocom",10.35881,0.472685
Savanes,Tône,Tône 1,Toaga,"Moov, Togocom",10.886283174079104,0.2648449007727379
Savanes,Tône,Tône 4,Korbongou,"Moov, Togocom",10.911889851930953,0.3223658693141428
Savanes,Tône,Tône 4,Korbongou,"Moov, Togocom",10.975646666666668,0.298085
Savanes,Tône,Tône 4,Korbongou,"Moov, Togocom",10.976141666666669,0.298015
Savanes,Tône,Tône 4,Korbongou,"Moov, Togocom",10.976135,0.2988466666666667
Savanes,Tône,Tône 4,Korbongou,Moov,10.976394999999998,0.2996283333333333
Savanes,Tône,Tône 4,Sanfatoute,"Moov, Togocom",10.9971097003508,0.3034927367315895
Savanes,Tône,Tône 4,Sanfatoute,"Moov, Togocom",11.044009999999998,0.2950316666666666
Savanes,Tône,Tône 4,Sanfatoute,"Moov, Togocom",11.044710399998342,0.2947742357430775
Savanes,Tandjoaré,Tandjoaré 2,Tampialime,"Moov, Togocom",10.747784999999999,0.00158
Savanes,Tône,Tône 4,Korbongou,"Moov, Togocom",10.91308189081557,0.3153111407171695
Savanes,Tandjoaré,Tandjoaré 2,Tampialime,Togocom,10.747610942233418,0.0021834469596853
Savanes,Tône,Tône 2,Naki-Ouest,"Moov, Togocom",10.955029999999999,0.107485
Savanes,Tône,Tône 2,Naki-Ouest,"Moov, Togocom",10.95503283977699,0.1075129121354829
Savanes,Oti,Oti 1,Mango,Togocom,10.357292615662566,0.4761264509156675
Maritime,Golfe,Golfe 3,Bè-Ouest,Nsp,6.157833043787537,1.2082212315638385
Maritime,Golfe,Golfe 3,Bè-Ouest,Nsp,6.157060118657945,1.2081650383383553
Maritime,Golfe,Golfe 3,Bè-Ouest,Nsp,6.155994473818737,1.2086607571389683
Maritime,Golfe,Golfe 3,Bè-Ouest,Nsp,6.154620664030015,1.2084824521783597
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,"Moov, Togocom",6.225740189357842,1.1989550388265922
Maritime,Golfe,Golfe 5,Aflao-Gakli,Nsp,6.195036666666666,1.1880033333333333
Maritime,Golfe,Golfe 3,Bè-Ouest,Nsp,6.155878092953007,1.2037773328057835
Savanes,Tône,Tône 4,Korbongou,"Moov, Togocom",10.99130995419568,0.3272913379932814
Savanes,Tône,Tône 4,Korbongou,"Moov, Togocom",10.991641666666665,0.3276166666666667
Savanes,Tône,Tône 2,Naki-Ouest,"Moov, Togocom",10.89387,0.061755
Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Ogaro,"Moov, Togocom",10.742703333333335,0.4717666666666667
Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Ogaro,"Moov, Togocom",10.742886527413386,0.4707255620512244
Savanes,Cinkassé,Cinkassé 1,Cinkassé,"Moov, Togocom",11.096416064813095,0.0253480353695872
Savanes,Tandjoaré,Tandjoaré 1,Tamongue,"Moov, Togocom",10.539721666666667,0.1416733333333334
Savanes,Cinkassé,Cinkassé 1,Cinkassé,"Moov, Togocom",11.105031793234032,0.0065390684340855
Savanes,Tône,Tône 2,Nanergou,"Moov, Togocom",10.910137308070695,0.1377255715769687
Savanes,Tône,Tône 2,Nanergou,Moov,10.910496152021503,0.1373712705725859
Savanes,Cinkassé,Cinkassé 1,Cinkassé,"Moov, Togocom",11.094226429010973,0.0335797360700381
Savanes,Tandjoaré,Tandjoaré 1,Tamongue,"Moov, Togocom",10.512936666666667,0.1971316666666666
Savanes,Tône,Tône 2,Nanergou,"Moov, Togocom",10.913322455488565,0.1489079118903999
Savanes,Tône,Tône 2,Nanergou,"Moov, Togocom",10.91355434747263,0.1486642529002149
Savanes,Tandjoaré,Tandjoaré 1,Tamongue,"Moov, Togocom",10.515456666666667,0.2068066666666667
Savanes,Oti,Oti 1,Sadori,"Moov, Togocom",10.293353333333332,0.466945
Savanes,Oti,Oti 2,Loko,Moov,10.530748333333333,0.2179683333333333
Savanes,Tône,Tône 2,Nanergou,"Moov, Togocom",10.91464009222483,0.1477392801765146
Savanes,Tône,Tône 1,Natigou,"Moov, Togocom",10.982167602592725,0.2610675435142361
Savanes,Oti,Oti 1,Sadori,"Moov, Togocom",10.293148333333333,0.4667966666666666
Savanes,Oti,Oti 2,Loko,Moov,10.5194567367438,0.2111625300125176
Savanes,Oti,Oti 1,Sadori,"Moov, Togocom",10.293211310997782,0.4665352503600536
Savanes,Tône,Tône 2,Naki-Ouest,Togocom,10.941388387093987,0.134564761666363
Savanes,Tandjoaré,Tandjoaré 1,Tamongue,Moov,10.514634999999998,0.16169
Savanes,Oti,Oti 2,Barkoissi,"Moov, Togocom",10.589684731913016,0.3520485252994079
Savanes,Oti,Oti 2,Barkoissi,Moov,10.589503470252797,0.3521415899225705
Savanes,Tandjoaré,Tandjoaré 1,Tamongue,"Moov, Togocom",10.524006666666667,0.14668
Savanes,Cinkassé,Cinkassé 2,Sam-Naba,"Moov, Togocom",11.070232041203516,0.1675974885517995
Savanes,Oti,Oti 2,Barkoissi,"Moov, Togocom",10.560566043469157,0.308911445472455
Savanes,Tandjoaré,Tandjoaré 1,Tamongue,"Moov, Togocom",10.533801666666667,0.1433866666666667
Savanes,Tône,Tône 2,Naki-Ouest,"Moov, Togocom",10.950826908240085,0.137032017143522
Savanes,Tandjoaré,Tandjoaré 1,Tamongue,"Moov, Togocom",10.535596666666667,0.142865
Savanes,Oti,Oti 2,Barkoissi,"Moov, Togocom",10.610443333333334,0.3968933333333334
Savanes,Tône,Tône 3,Lotogou,"Moov, Togocom",10.766173333333333,0.033185
Savanes,Oti,Oti 2,Barkoissi,"Moov, Togocom",10.609580000000001,0.3970566666666667
Savanes,Oti,Oti 2,Barkoissi,Moov,10.608416615406975,0.3938607317867955
Savanes,Cinkassé,Cinkassé 2,Sam-Naba,Togocom,11.07017,0.167605
Savanes,Oti,Oti 2,Barkoissi,Moov,10.609836166888917,0.3949674651174293
Savanes,Oti,Oti 1,Mango,Togocom,10.356765,0.4753033333333334
Savanes,Tandjoaré,Tandjoaré 1,Tamongue,"Moov, Togocom",10.595858333333334,0.1716783333333334
Savanes,Oti-Sud,Oti-Sud 1,Mogou,Togocom,10.383366164664078,0.644074868595233
Savanes,Tandjoaré,Tandjoaré 1,Tamongue,"Moov, Togocom",10.595538333333332,0.1715266666666667
Savanes,Tandjoaré,Tandjoaré 1,Tamongue,Moov,10.595623333333332,0.1711516666666667
Savanes,Tandjoaré,Tandjoaré 1,Loko,"Moov, Togocom",10.608061666666666,0.2493566666666666
Savanes,Tandjoaré,Tandjoaré 1,Tamongue,Moov,10.596383333333332,0.1717833333333333
Savanes,Oti,Oti 2,Barkoissi,Moov,10.608792892657815,0.3932548647984582
Savanes,Oti,Oti 2,Barkoissi,"Moov, Togocom",10.609538296010582,0.3938241440958484
Savanes,Oti,Oti 2,Tchanaga,"Moov, Togocom",10.499074105006061,0.4914173054360709
Savanes,Oti,Oti 1,Mango,"Moov, Togocom",10.3613466026087,0.4769966666666667
Savanes,Oti,Oti 1,Mango,Togocom,10.359373333333334,0.47148
Savanes,Oti,Oti 1,Mango,"Moov, Togocom",10.359213333333335,0.471965
Savanes,Oti,Oti 2,Barkoissi,Togocom,10.556999354739176,0.3028190611355038
Savanes,Oti,Oti 1,Mango,Togocom,10.361213333333334,0.468995
Savanes,Oti,Oti 1,Mango,"Moov, Togocom",10.357505914713107,0.4721433256213948
Savanes,Oti,Oti 1,Mango,"Moov, Togocom",10.359134924716122,0.4720573257751092
Savanes,Oti,Oti 2,Barkoissi,"Moov, Togocom",10.556780881858742,0.3030554145569283
Savanes,Oti,Oti 1,Mango,"Moov, Togocom",10.361231495379311,0.4724830703901803
Savanes,Oti,Oti 1,Mango,Togocom,10.362252234872608,0.4741058596646266
Savanes,Cinkassé,Cinkassé 1,Cinkassé,Togocom,11.100800435228326,0.0130061352885481
Savanes,Oti,Oti 2,Barkoissi,"Moov, Togocom",10.556741385065799,0.3031017808174546
Savanes,Oti,Oti 1,Mango,"Moov, Togocom",10.359569368672577,0.4786352044257253
Maritime,Zio,Zio 4,Gapé-Centre,Nsp,6.602666673358168,1.103857449783335
Savanes,Oti,Oti 1,Mango,"Moov, Togocom",10.357931666666667,0.4739366666666667
Savanes,Tône,Tône 2,Namaré,Togocom,10.981163333333333,0.1305766666666667
Savanes,Oti,Oti 1,Mango,"Moov, Togocom",10.357771666666668,0.47412
Savanes,Cinkassé,Cinkassé 1,Cinkassé,Togocom,11.108206666666668,0.01292
Savanes,Oti,Oti 1,Mango,Togocom,10.372036666666666,0.47395
Savanes,Oti,Oti 1,Mango,Togocom,10.360428333333335,0.4742183333333333
Savanes,Tône,Tône 3,Lotogou,"Moov, Togocom",10.798357351875467,0.0252110239201584
Savanes,Tône,Tône 3,Lotogou,"Moov, Togocom",10.798388333333332,0.0252116666666667
Savanes,Kpendjal,Kpendjal 2,Borgou,Nsp,10.778584914157715,0.6285116118929726
Savanes,Oti,Oti 1,Mango,"Moov, Togocom",10.360195000000001,0.4742766666666667
Savanes,Oti,Oti 1,Mango,"Moov, Togocom",10.371694999999999,0.4739533333333333
Savanes,Tône,Tône 3,Lotogou,Moov,10.798325,0.02536
Savanes,Tône,Tône 2,Namaré,Moov,10.981187658448977,0.1302220001734754
Savanes,Oti,Oti 1,Mango,Togocom,10.357401722975585,0.4747742891362046
Savanes,Cinkassé,Cinkassé 1,Cinkassé,"Moov, Togocom",11.106155000000001,0.0162116666666667
Savanes,Tône,Tône 3,Lotogou,"Moov, Togocom",10.797771730263092,0.0249281846869295
Savanes,Tandjoaré,Tandjoaré 1,Tamongue,"Moov, Togocom",10.565108333333335,0.2009933333333333
Savanes,Oti,Oti 1,Mango,Togocom,10.358225000000001,0.4735516666666666
Savanes,Tandjoaré,Tandjoaré 1,Tamongue,Moov,10.562948333333335,0.2029433333333333
Savanes,Tône,Tône 3,Lotogou,Moov,10.798148333333332,0.025725
Savanes,Oti,Oti 1,Mango,Togocom,10.357527498998696,0.4758284268946676
Savanes,Tône,Tône 3,Lotogou,"Moov, Togocom",10.798051666666668,0.02581
Savanes,Tône,Tône 3,Lotogou,"Moov, Togocom",10.797998457858439,0.0258041854748126
Savanes,Tône,Tône 2,Namaré,Moov,10.98086,0.1302383333333333
Savanes,Tône,Tône 3,Lotogou,"Moov, Togocom",10.798200000000001,0.0261133333333333
Savanes,Tône,Tône 3,Lotogou,Togocom,10.798326666666666,0.025485
Savanes,Oti,Oti 1,Mango,"Moov, Togocom",10.357078765457079,0.4751195052653693
Savanes,Tône,Tône 2,Namaré,"Moov, Togocom",10.98021,0.1296033333333334
Savanes,Oti,Oti 1,Mango,"Moov, Togocom",10.357481662670757,0.4758477055827188
Savanes,Cinkassé,Cinkassé 1,Cinkassé,"Moov, Togocom",11.105861666666666,0.01471
Savanes,Oti,Oti 1,Mango,"Moov, Togocom",10.35648,0.47555
Savanes,Oti,Oti 1,Mango,Moov,10.356101666666666,0.4751633333333333
Savanes,Oti,Oti 1,Mango,Togocom,10.355961666666667,0.47507
Savanes,Tandjoaré,Tandjoaré 1,Tamongue,"Moov, Togocom",10.547083333333335,0.2153583333333334
Savanes,Oti,Oti 1,Mango,Nsp,10.35552,0.47424
Savanes,Oti,Oti 2,Barkoissi,"Moov, Togocom",10.562680648856455,0.303677348780411
Savanes,Oti,Oti 1,Mango,Togocom,10.3561,0.476435
Savanes,Oti,Oti 2,Barkoissi,"Moov, Togocom",10.558991380550943,0.3032759964874147
Savanes,Kpendjal-Ouest,Kpendjal-Ouest 2,Papri,"Moov, Togocom",10.99332723341436,0.4236561341109069
Savanes,Oti,Oti 1,Mango,"Moov, Togocom",10.35581,0.47681
Savanes,Oti,Oti 1,Mango,"Moov, Togocom",10.357177250110176,0.4776112501836867
Savanes,Oti,Oti 1,Mango,Togocom,10.35834,0.4779666666666667
Savanes,Tône,Tône 2,Naki-Ouest,"Moov, Togocom",10.955600694562186,0.1076052645379893
Savanes,Tône,Tône 2,Naki-Ouest,Moov,10.955349816452657,0.1074825684903251
Savanes,Kpendjal-Ouest,Kpendjal-Ouest 2,Papri,"Moov, Togocom",10.993690655898847,0.4240597367024934
Savanes,Oti,Oti 1,Mango,"Moov, Togocom",10.35235372052266,0.4756077821945289
Savanes,Oti,Oti 1,Mango,Togocom,10.362028333333335,0.47981
Savanes,Oti,Oti 1,Mango,Togocom,10.361316093671531,0.4795562738815671
Savanes,Oti,Oti 1,Mango,"Moov, Togocom",10.355946666666666,0.47769
Savanes,Tône,Tône 3,Nioukpourma,"Moov, Togocom",10.859050872118498,0.1562452581770826
Maritime,Zio,Zio 1,Gbatopé,Moov,6.413784998385903,1.3414588965384702
Savanes,Oti,Oti 1,Mango,"Moov, Togocom",10.363426737303204,0.4809678906122763
Savanes,Oti,Oti 1,Mango,Togocom,10.36548,0.4841066666666666
Savanes,Oti,Oti 1,Mango,"Moov, Togocom",10.354863333333332,0.47216
Savanes,Oti,Oti 1,Mango,"Moov, Togocom",10.36641,0.4841816666666666
Savanes,Oti,Oti 1,Mango,"Moov, Togocom",10.369585,0.48488
Savanes,Oti,Oti 1,Mango,Togocom,10.351404324762385,0.4694350177756901
Savanes,Oti,Oti 1,Mango,"Moov, Togocom",10.354829269125721,0.4700318546706031
Savanes,Oti,Oti 1,Mango,"Moov, Togocom",10.363826666666666,0.4841883333333333
Savanes,Oti,Oti 1,Mango,"Moov, Togocom",10.363976666666668,0.48429
Savanes,Oti,Oti 1,Mango,Togocom,10.354674999999999,0.471015
Savanes,Oti,Oti 1,Mango,"Moov, Togocom",10.353322168382702,0.4767236212244052
Savanes,Oti,Oti 1,Mango,"Moov, Togocom",10.352616666666668,0.4698033333333333
Savanes,Oti,Oti 1,Mango,Togocom,10.36616,0.4856483333333334
Savanes,Oti,Oti 1,Mango,"Moov, Togocom",10.360172837987625,0.477952029007451
Savanes,Oti,Oti 1,Mango,"Moov, Togocom",10.359589999999999,0.476215
Savanes,Oti,Oti 1,Mango,"Moov, Togocom",10.358183619101439,0.4712345314306684
Savanes,Oti,Oti 1,Mango,"Moov, Togocom",10.33377885804076,0.4765363905937979
Savanes,Oti,Oti 1,Mango,Togocom,10.335048333333333,0.4744383333333334
Savanes,Oti,Oti 1,Mango,"Moov, Togocom",10.33601050469581,0.469812367318937
Savanes,Oti,Oti 1,Mango,"Moov, Togocom",10.351028333333334,0.4702
Savanes,Oti,Oti 1,Mango,"Moov, Togocom",10.347200974584814,0.4740845169928017
Savanes,Oti,Oti 1,Mango,"Moov, Togocom",10.347261666666666,0.47127
Savanes,Oti,Oti 1,Mango,"Moov, Togocom",10.340086666666668,0.4700316666666666
Savanes,Oti,Oti 1,Mango,Togocom,10.33789791577848,0.4698535424666747
Savanes,Oti-Sud,Oti-Sud 1,Sagbiebou,"Moov, Togocom",10.244495,0.64358
Savanes,Oti,Oti 1,Mango,"Moov, Togocom",10.337291666666665,0.46949
Savanes,Oti,Oti 1,Mango,Togocom,10.33582,0.469425
Savanes,Oti-Sud,Oti-Sud 1,Sagbiebou,"Moov, Togocom",10.243242559572355,0.6429895136596273
Savanes,Oti-Sud,Oti-Sud 1,Gando,"Moov, Togocom",10.329165853354274,0.7499270381282858
Maritime,Zio,Zio 1,Tsévié,"Moov, Togocom",6.424975000000001,1.2097033333333334
Savanes,Oti,Oti 1,Mango,"Moov, Togocom",10.339868110894495,0.4674228140907995
Savanes,Oti,Oti 1,Mango,Nsp,10.339321413894512,0.4638877409222055
Savanes,Oti,Oti 1,Mango,Togocom,10.338448333333334,0.45885
Savanes,Oti,Oti 1,Mango,"Moov, Togocom",10.337590320730499,0.4586491099094078
Savanes,Tône,Tône 1,Bidjenga,Moov,10.731818333333335,0.2409366666666667
Savanes,Cinkassé,Cinkassé 2,Biankouri,"Moov, Togocom",11.018203966456573,0.0528869088538328
Savanes,Cinkassé,Cinkassé 2,Biankouri,Togocom,11.018046666666665,0.0534333333333333
Savanes,Tône,Tône 3,Tami,Moov,10.849483946595017,0.0537510352754579
Savanes,Tône,Tône 3,Tami,"Moov, Togocom",10.858163333333334,0.0406716666666667
Savanes,Tône,Tône 3,Tami,Togocom,10.858732616468375,0.0280600297351994
Savanes,Tône,Tône 3,Tami,Moov,10.85672,0.0399716666666667
Savanes,Oti-Sud,Oti-Sud 1,Gando,"Moov, Togocom",10.330843178432591,0.7461788356485461
Savanes,Tône,Tône 3,Tami,Moov,10.857373333333332,0.0400733333333333
Maritime,Yoto,Yoto 1,Amoussimé,"Moov, Togocom",6.6411622174229565,1.5298346038795787
Maritime,Yoto,Yoto 1,Kouvé,"Moov, Togocom",6.664686666666667,1.4158333333333335
Savanes,Cinkassé,Cinkassé 2,Biankouri,"Moov, Togocom",11.019412394451319,0.0530798335230192
Savanes,Cinkassé,Cinkassé 2,Biankouri,"Moov, Togocom",11.01882219824961,0.0529391852999836
Maritime,Yoto,Yoto 1,Tabligbo,Moov,6.584003510522654,1.4900494613388486
Maritime,Yoto,Yoto 1,Kini-Kondji,Moov,6.611526666666666,1.5467483333333334
Maritime,Yoto,Yoto 1,Kini-Kondji,Togocom,6.611031500675384,1.546352858291251
Maritime,Yoto,Yoto 1,Kouvé,Moov,6.6589631844850095,1.4039776188701596
Maritime,Yoto,Yoto 1,Kouvé,Togocom,6.658511654166165,1.4025615900205417
Savanes,Tandjoaré,Tandjoaré 2,Sissiak,"Moov, Togocom",10.726001717537255,0.1273866968269687
Maritime,Yoto,Yoto 1,Kouvé,Moov,6.668395,1.4179750000000002
Maritime,Yoto,Yoto 1,Amoussimé,Moov,6.619743333333334,1.5122716666666667
Savanes,Cinkassé,Cinkassé 2,Timbou,"Moov, Togocom",11.036355326056821,0.1101984701482791
Maritime,Yoto,Yoto 1,Kouvé,Moov,6.658980064976924,1.4049446867086635
Maritime,Yoto,Yoto 1,Tabligbo,"Moov, Togocom",6.589423333333333,1.49852
Maritime,Yoto,Yoto 1,Tabligbo,"Moov, Togocom",6.5949833333333325,1.4942366666666667
Maritime,Yoto,Yoto 1,Tabligbo,"Moov, Togocom",6.614037325964966,1.5099685378493448
Savanes,Kpendjal-Ouest,Kpendjal-Ouest 2,Papri,"Moov, Togocom",10.994163333333331,0.4234283333333334
Savanes,Kpendjal,Kpendjal 1,Mandouri,"Moov, Togocom",10.846123333333333,0.8177066666666666
Savanes,Kpendjal,Kpendjal 1,Mandouri,"Moov, Togocom",10.84901102932186,0.8173984646869028
Savanes,Kpendjal,Kpendjal 1,Mandouri,Nsp,10.850462539086191,0.8168691762979691
Savanes,Kpendjal,Kpendjal 1,Mandouri,Togocom,10.851066746815347,0.8163366666666668
Savanes,Kpendjal,Kpendjal 1,Mandouri,"Moov, Togocom",10.851330620754306,0.8188190093111513
